location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error
443,2026-04-06 04:00:00+03:00,low,lunch,43.0,1.9761096458289709,-41.02389035417103,41.02389035417103
29,2026-04-18 02:00:00+03:00,high,early_morning,0.0,27.522272369087062,27.522272369087062,27.522272369087062
29,2026-04-14 02:00:00+03:00,high,early_morning,1.0,27.29280676201105,26.29280676201105,26.29280676201105
29,2026-04-17 02:00:00+03:00,high,early_morning,0.0,24.70653025319611,24.70653025319611,24.70653025319611
29,2026-04-19 02:00:00+03:00,high,early_morning,0.0,24.472860785813296,24.472860785813296,24.472860785813296
29,2026-04-15 02:00:00+03:00,high,early_morning,0.0,24.38702192771196,24.38702192771196,24.38702192771196
29,2026-04-16 02:00:00+03:00,high,early_morning,0.0,24.297096494885018,24.297096494885018,24.297096494885018
29,2026-04-22 02:00:00+03:00,high,early_morning,1.0,24.38702192771196,23.38702192771196,23.38702192771196
29,2026-04-21 02:00:00+03:00,high,early_morning,1.0,24.346443433235297,23.346443433235297,23.346443433235297
29,2026-04-23 02:00:00+03:00,high,early_morning,1.0,24.297096494885018,23.297096494885018,23.297096494885018
29,2026-04-20 02:00:00+03:00,high,early_morning,1.0,23.366713717624332,22.366713717624332,22.366713717624332
99,2026-04-14 02:00:00+03:00,mega,early_morning,0.0,22.320048158847417,22.320048158847417,22.320048158847417
29,2026-04-24 02:00:00+03:00,high,early_morning,1.0,23.261210119302426,22.261210119302426,22.261210119302426
11,2026-04-18 00:00:00+03:00,medium,deep_night,0.0,21.910161047569495,21.910161047569495,21.910161047569495
11,2026-04-25 00:00:00+03:00,medium,deep_night,0.0,21.910161047569495,21.910161047569495,21.910161047569495
69,2026-03-09 05:00:00+03:00,mega,afternoon,60.0,38.13792733040806,-21.86207266959194,21.86207266959194
11,2026-04-26 00:00:00+03:00,medium,deep_night,0.0,21.673376040065808,21.673376040065808,21.673376040065808
11,2026-04-19 00:00:00+03:00,medium,deep_night,0.0,21.673376040065808,21.673376040065808,21.673376040065808
99,2026-04-18 02:00:00+03:00,mega,early_morning,1.0,22.442009943144164,21.442009943144164,21.442009943144164
69,2026-03-06 05:00:00+03:00,mega,afternoon,58.0,36.9198975433671,-21.0801024566329,21.0801024566329
29,2026-01-31 02:00:00+03:00,high,early_morning,35.0,15.15351172153631,-19.84648827846369,19.84648827846369
35,2026-03-19 06:00:00+03:00,high,dinner,30.0,10.246281621663517,-19.753718378336483,19.753718378336483
99,2026-04-19 02:00:00+03:00,mega,early_morning,0.0,19.488090935209534,19.488090935209534,19.488090935209534
99,2026-04-17 02:00:00+03:00,mega,early_morning,0.0,19.478802535457994,19.478802535457994,19.478802535457994
99,2026-04-15 02:00:00+03:00,mega,early_morning,0.0,19.241383424893527,19.241383424893527,19.241383424893527
99,2026-04-16 02:00:00+03:00,mega,early_morning,0.0,19.160105495449415,19.160105495449415,19.160105495449415
29,2026-03-24 05:00:00+03:00,high,afternoon,9.0,28.066414886461256,19.066414886461256,19.066414886461256
11,2026-05-10 00:00:00+03:00,medium,deep_night,0.0,18.360211576152636,18.360211576152636,18.360211576152636
